Horizon,Model,Period,AUC-ROC,PR-AUC,F1 (0.5),Best F1,Best Threshold,Accuracy,N,Positive Rate
1Q ahead,Logistic Regression,Validation (2015-18),0.7529,0.4109,0.403,0.4238,0.55,0.5703,2048,0.178
1Q ahead,Logistic Regression,Test: COVID (2019-20),0.735,0.432,0.4183,0.4408,0.55,0.4976,1063,0.209
1Q ahead,Logistic Regression,Test: Ukraine (2021+),0.6915,0.2898,0.4209,0.4209,0.5,0.5309,1989,0.197
1Q ahead,Random Forest,Validation (2015-18),0.8,0.4847,0.4965,0.506,0.55,0.7534,2048,0.178
1Q ahead,Random Forest,Test: COVID (2019-20),0.7536,0.4332,0.4795,0.4795,0.5,0.7018,1063,0.209
1Q ahead,Random Forest,Test: Ukraine (2021+),0.7925,0.4868,0.4898,0.4991,0.45,0.7496,1989,0.197
1Q ahead,XGBoost,Validation (2015-18),0.788,0.4429,0.4873,0.4965,0.4,0.813,2048,0.178
1Q ahead,XGBoost,Test: COVID (2019-20),0.7417,0.4432,0.425,0.4648,0.3,0.7404,1063,0.209
1Q ahead,XGBoost,Test: Ukraine (2021+),0.8079,0.5179,0.4669,0.5188,0.2,0.8014,1989,0.197
1Q ahead,LightGBM,Validation (2015-18),0.7881,0.4531,0.4628,0.4778,0.35,0.8062,2048,0.178
1Q ahead,LightGBM,Test: COVID (2019-20),0.7419,0.443,0.4384,0.4484,0.3,0.7469,1063,0.209
1Q ahead,LightGBM,Test: Ukraine (2021+),0.8181,0.5398,0.4834,0.5326,0.15,0.8044,1989,0.197
2Q ahead,Logistic Regression,Validation (2015-18),0.759,0.4891,0.5134,0.5227,0.55,0.6011,2048,0.254
2Q ahead,Logistic Regression,Test: COVID (2019-20),0.7443,0.565,0.5355,0.5419,0.55,0.5264,1062,0.31
2Q ahead,Logistic Regression,Test: Ukraine (2021+),0.7379,0.4521,0.5397,0.5397,0.5,0.6156,1855,0.272
2Q ahead,Random Forest,Validation (2015-18),0.7944,0.5888,0.5493,0.5537,0.55,0.6963,2048,0.254
2Q ahead,Random Forest,Test: COVID (2019-20),0.7803,0.6148,0.5854,0.6087,0.55,0.6573,1062,0.31
2Q ahead,Random Forest,Test: Ukraine (2021+),0.7687,0.5499,0.5357,0.5514,0.35,0.7057,1855,0.272
2Q ahead,XGBoost,Validation (2015-18),0.7777,0.5612,0.5458,0.5458,0.5,0.7285,2048,0.254
2Q ahead,XGBoost,Test: COVID (2019-20),0.7675,0.5764,0.5975,0.6018,0.35,0.693,1062,0.31
2Q ahead,XGBoost,Test: Ukraine (2021+),0.7738,0.5306,0.5303,0.5605,0.25,0.7326,1855,0.272
2Q ahead,LightGBM,Validation (2015-18),0.7749,0.5338,0.5424,0.5491,0.55,0.7363,2048,0.254
2Q ahead,LightGBM,Test: COVID (2019-20),0.7636,0.5772,0.5933,0.6109,0.4,0.7043,1062,0.31
2Q ahead,LightGBM,Test: Ukraine (2021+),0.7838,0.5482,0.5299,0.5769,0.15,0.7418,1855,0.272
4Q ahead,Logistic Regression,Validation (2015-18),0.7801,0.6167,0.6183,0.6272,0.55,0.6401,2048,0.347
4Q ahead,Logistic Regression,Test: COVID (2019-20),0.7554,0.6681,0.659,0.6707,0.55,0.6068,1058,0.422
4Q ahead,Logistic Regression,Test: Ukraine (2021+),0.7335,0.5599,0.5482,0.5658,0.25,0.696,1589,0.323
4Q ahead,Random Forest,Validation (2015-18),0.7986,0.6339,0.6511,0.6511,0.5,0.7017,2048,0.347
4Q ahead,Random Forest,Test: COVID (2019-20),0.7825,0.7269,0.6842,0.6842,0.5,0.6815,1058,0.422
4Q ahead,Random Forest,Test: Ukraine (2021+),0.7955,0.6087,0.6124,0.6314,0.35,0.7061,1589,0.323
4Q ahead,XGBoost,Validation (2015-18),0.7719,0.6168,0.6297,0.6297,0.5,0.6807,2048,0.347
4Q ahead,XGBoost,Test: COVID (2019-20),0.7696,0.6944,0.6829,0.6861,0.45,0.6805,1058,0.422
4Q ahead,XGBoost,Test: Ukraine (2021+),0.8012,0.5986,0.6173,0.6379,0.25,0.7168,1589,0.323
4Q ahead,LightGBM,Validation (2015-18),0.7748,0.6207,0.615,0.6342,0.25,0.6968,2048,0.347
4Q ahead,LightGBM,Test: COVID (2019-20),0.7827,0.7245,0.6833,0.6849,0.35,0.6994,1058,0.422
4Q ahead,LightGBM,Test: Ukraine (2021+),0.8058,0.6014,0.6158,0.6387,0.4,0.7401,1589,0.323
