Horizon,Model,Period,AUC-ROC,PR-AUC,Brier,F1 (0.5),Best F1,Best Threshold,Accuracy,N,Positive Rate
1Q ahead,Logistic Regression,Validation (2015-18),0.8114,0.3681,0.2413,0.385,0.4856,0.7,0.6147,2048,0.136
1Q ahead,Logistic Regression,Test: COVID (2019-20),0.7653,0.3338,0.2882,0.3178,0.3779,0.7,0.5033,1063,0.129
1Q ahead,Logistic Regression,Test: Ukraine (2021+),0.7256,0.2709,0.3719,0.359,0.392,0.7,0.4811,1989,0.158
1Q ahead,Random Forest,Validation (2015-18),0.8422,0.4763,0.1435,0.4817,0.487,0.6,0.7793,2048,0.136
1Q ahead,Random Forest,Test: COVID (2019-20),0.81,0.3484,0.1633,0.3943,0.4041,0.55,0.7225,1063,0.129
1Q ahead,Random Forest,Test: Ukraine (2021+),0.8202,0.5145,0.1444,0.4702,0.4771,0.55,0.7677,1989,0.158
1Q ahead,XGBoost,Validation (2015-18),0.8425,0.4706,0.0993,0.4486,0.4966,0.3,0.856,2048,0.136
1Q ahead,XGBoost,Test: COVID (2019-20),0.8129,0.3747,0.1044,0.3918,0.4241,0.2,0.8598,1063,0.129
1Q ahead,XGBoost,Test: Ukraine (2021+),0.8385,0.5585,0.1023,0.5064,0.5208,0.4,0.8638,1989,0.158
1Q ahead,LightGBM,Validation (2015-18),0.843,0.4837,0.1283,0.4834,0.4883,0.55,0.7954,2048,0.136
1Q ahead,LightGBM,Test: COVID (2019-20),0.8031,0.3743,0.1499,0.4095,0.4095,0.5,0.7667,1063,0.129
1Q ahead,LightGBM,Test: Ukraine (2021+),0.8358,0.5544,0.1292,0.4981,0.5209,0.65,0.7984,1989,0.158
2Q ahead,Logistic Regression,Validation (2015-18),0.8168,0.4852,0.2289,0.5028,0.5517,0.7,0.6514,2048,0.199
2Q ahead,Logistic Regression,Test: COVID (2019-20),0.7999,0.5476,0.2977,0.4772,0.5149,0.7,0.5461,1062,0.225
2Q ahead,Logistic Regression,Test: Ukraine (2021+),0.739,0.4179,0.2447,0.4807,0.4945,0.65,0.6447,1855,0.224
2Q ahead,Random Forest,Validation (2015-18),0.8362,0.5552,0.1599,0.5497,0.5624,0.6,0.7456,2048,0.199
2Q ahead,Random Forest,Test: COVID (2019-20),0.8207,0.5831,0.1837,0.5491,0.5491,0.5,0.7015,1062,0.225
2Q ahead,Random Forest,Test: Ukraine (2021+),0.7986,0.5618,0.1642,0.5039,0.5319,0.35,0.7229,1855,0.224
2Q ahead,XGBoost,Validation (2015-18),0.8316,0.5349,0.1359,0.5523,0.5587,0.45,0.8013,2048,0.199
2Q ahead,XGBoost,Test: COVID (2019-20),0.8218,0.618,0.152,0.552,0.5612,0.65,0.7646,1062,0.225
2Q ahead,XGBoost,Test: Ukraine (2021+),0.8131,0.5757,0.1533,0.5187,0.5526,0.3,0.7779,1855,0.224
2Q ahead,LightGBM,Validation (2015-18),0.8281,0.523,0.1628,0.5464,0.5665,0.55,0.7544,2048,0.199
2Q ahead,LightGBM,Test: COVID (2019-20),0.8335,0.6464,0.1818,0.5473,0.576,0.7,0.7119,1062,0.225
2Q ahead,LightGBM,Test: Ukraine (2021+),0.813,0.5795,0.1701,0.5408,0.5427,0.35,0.7391,1855,0.224
4Q ahead,Logistic Regression,Validation (2015-18),0.8294,0.5918,0.2129,0.6152,0.6358,0.6,0.7007,2048,0.267
4Q ahead,Logistic Regression,Test: COVID (2019-20),0.7938,0.6306,0.2995,0.6099,0.6221,0.7,0.5974,1058,0.334
4Q ahead,Logistic Regression,Test: Ukraine (2021+),0.7154,0.5071,0.2006,0.4927,0.5211,0.25,0.7382,1589,0.271
4Q ahead,Random Forest,Validation (2015-18),0.8408,0.6404,0.1819,0.6331,0.6331,0.5,0.7329,2048,0.267
4Q ahead,Random Forest,Test: COVID (2019-20),0.8044,0.6852,0.2135,0.6323,0.6323,0.5,0.6427,1058,0.334
4Q ahead,Random Forest,Test: Ukraine (2021+),0.7792,0.597,0.1674,0.5236,0.5628,0.2,0.7206,1589,0.271
4Q ahead,XGBoost,Validation (2015-18),0.8253,0.6102,0.1859,0.6092,0.6143,0.6,0.7256,2048,0.267
4Q ahead,XGBoost,Test: COVID (2019-20),0.7772,0.6456,0.217,0.6184,0.6289,0.45,0.656,1058,0.334
4Q ahead,XGBoost,Test: Ukraine (2021+),0.7762,0.5769,0.1744,0.5031,0.5566,0.1,0.7514,1589,0.271
4Q ahead,LightGBM,Validation (2015-18),0.8266,0.6065,0.1875,0.6125,0.6149,0.45,0.7158,2048,0.267
4Q ahead,LightGBM,Test: COVID (2019-20),0.7677,0.6322,0.2297,0.6246,0.6263,0.35,0.6399,1058,0.334
4Q ahead,LightGBM,Test: Ukraine (2021+),0.773,0.5652,0.1769,0.5286,0.5584,0.15,0.7351,1589,0.271
