feature,importance
hcpi_12m_vol_lag2,778
fcpi_yoy_2q_change,766
ecpi_mom_change,732
ppi_yoy,730
ccpi_yoy,711
fcpi_6m_vol,708
debt_gdp,684
ecpi_6m_vol,659
fcpi_mom_change,637
primary_balance,633
private_credit_gdp,630
hcpi_6m_vol,619
headline_food_gap,615
ecpi_yoy_2q_change,612
hcpi_12m_vol_lag1,612
component_disp_m_lag2,601
ext_debt_gdp,597
hcpi_mom_change,578
fiscal_balance,554
regime_prob_5,549
st_debt_reserves,547
hcpi_12m_vol,536
component_disp_m,529
hcpi_yoy_2q_change,515
component_disp_m_lag1,499
sovereign_rating,497
fcpi_yoy_lag1,478
food_commodity_index_6m_vol,477
regime_prob_4,470
ecpi_yoy_lag2,464
food_commodity_index_3m_chg,421
fcpi_yoy_lag2,421
regime,418
hcpi_yoy_lag2,404
energy_index_6m_vol,403
hcpi_yoy,394
fcpi_yoy,392
metals_index_12m_chg,391
oil_price_6m_vol,381
oil_price_12m_chg,369
energy_index_3m_chg,361
ecpi_yoy,352
headline_energy_gap,348
fertiliser_index_12m_chg,347
metals_index,333
food_commodity_index_12m_chg,330
ecpi_yoy_lag1,326
food_energy_gap_m,324
regime_prob_3,321
food_commodity_index,321
regime_prob_0,320
hcpi_yoy_lag1,316
regime_prob_2,314
energy_index_12m_chg,302
regime_prob_1,280
fertiliser_index,228
energy_index,211
oil_price,190
income_encoded,72
region_Europe_and_Central_Asia,27
region_East_Asia_and_Pacific,24
region_Latin_America_and_the_Caribbean,22
region_Middle_East__North_Africa__Afghanistan_and_Pakistan,22
is_emde,20
region_North_America,10
region_Sub_Saharan_Africa,6
region_South_Asia,0
