feature,importance
regime,0.15698203
regime_prob_1,0.039367937
regime_prob_5,0.030743804
regime_prob_2,0.02785928
energy_index_3m_chg,0.024014119
region_Sub_Saharan_Africa,0.018540222
regime_prob_0,0.018235989
hcpi_yoy,0.01719086
region_Middle_East__North_Africa__Afghanistan_and_Pakistan,0.016646726
food_commodity_index_3m_chg,0.01580397
oil_price_12m_chg,0.01479211
fcpi_yoy_2q_change,0.014672529
regime_prob_3,0.014469814
regime_prob_4,0.014283487
hcpi_12m_vol,0.013901814
fertiliser_index,0.012934415
metals_index_12m_chg,0.012811526
hcpi_12m_vol_lag1,0.01277171
food_commodity_index,0.012383471
oil_price,0.012360355
ecpi_mom_change,0.0123332655
st_debt_reserves,0.012298242
energy_index,0.012227864
hcpi_12m_vol_lag2,0.012225027
metals_index,0.012220017
is_emde,0.012028727
oil_price_6m_vol,0.0119766025
ecpi_yoy,0.011863655
ccpi_yoy,0.011704003
ecpi_yoy_2q_change,0.011677345
hcpi_yoy_lag2,0.011540201
fcpi_6m_vol,0.011532601
private_credit_gdp,0.011361542
region_North_America,0.011245297
region_Europe_and_Central_Asia,0.011210628
hcpi_6m_vol,0.011144704
fertiliser_index_12m_chg,0.011075482
fcpi_yoy_lag2,0.010972901
ppi_yoy,0.010958052
headline_food_gap,0.010923851
fcpi_yoy_lag1,0.010843304
ext_debt_gdp,0.010797192
primary_balance,0.0107019665
component_disp_m,0.010665957
food_commodity_index_12m_chg,0.010605399
sovereign_rating,0.0105544245
energy_index_6m_vol,0.010521076
food_commodity_index_6m_vol,0.01031624
region_Latin_America_and_the_Caribbean,0.0101934485
fcpi_yoy,0.010062354
debt_gdp,0.010054452
hcpi_mom_change,0.009904336
energy_index_12m_chg,0.009828308
region_South_Asia,0.009746169
headline_energy_gap,0.009740557
income_encoded,0.009718151
fcpi_mom_change,0.009644255
ecpi_yoy_lag2,0.009617136
fiscal_balance,0.009616243
food_energy_gap_m,0.009550827
component_disp_m_lag1,0.009504982
hcpi_yoy_lag1,0.009438882
hcpi_yoy_2q_change,0.009319233
component_disp_m_lag2,0.009232927
ecpi_6m_vol,0.009072387
ecpi_yoy_lag1,0.008979826
region_East_Asia_and_Pacific,0.008483647
