Feature,COVID,Ukraine,Ratio_Ukraine_vs_COVID
regime,1.15495,1.284451,1.112127
energy_index_3m_chg,0.231839,0.320629,1.3829813
regime_prob_5,0.289587,0.252206,0.8709162
regime_prob_3,0.112632,0.163935,1.4554923
regime_prob_2,0.095662,0.152476,1.5939035
food_commodity_index_3m_chg,0.12529,0.1438,1.1477373
ecpi_mom_change,0.123655,0.127837,1.0338199
energy_index_6m_vol,0.12659,0.12324,0.9735366
hcpi_yoy,0.067843,0.11838,1.7449112
regime_prob_1,0.140518,0.107673,0.7662577
hcpi_12m_vol_lag2,0.124539,0.106516,0.8552823
fcpi_yoy_2q_change,0.130741,0.101336,0.7750897
hcpi_mom_change,0.075499,0.100788,1.3349581
ecpi_6m_vol,0.116134,0.081666,0.70320493
regime_prob_0,0.113984,0.078584,0.68943006
hcpi_12m_vol_lag1,0.078558,0.07393,0.9410882
fcpi_6m_vol,0.074911,0.073409,0.97994953
hcpi_6m_vol,0.065414,0.068744,1.0509065
st_debt_reserves,0.059338,0.067997,1.1459267
food_commodity_index,0.030087,0.062972,2.092997
